feature_id,semantic_source_feature_id,relevance_scaled,confidence_scaled,agreement,reliability,text_score,condition,llm_runs
F000131,F001159,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000132,F001713,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000133,F000837,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000134,F000202,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000135,F001883,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000136,F001071,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000137,F001246,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000138,F001367,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000139,F000956,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000140,F001279,0.5,1.0,1.0,1.0,0.5,permuted_seed_0019,3
F000141,F000246,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000142,F000326,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000143,F001287,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000144,F000850,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000145,F001979,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000146,F001953,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000147,F000074,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000148,F000015,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000149,F001794,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000150,F000785,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000151,F000695,0.5,1.0,1.0,1.0,0.5,permuted_seed_0019,3
F000152,F001605,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000153,F000381,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000154,F000904,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000155,F000455,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000156,F000884,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000157,F001988,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000158,F000881,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000159,F000287,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000160,F001947,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000161,F000204,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000162,F001004,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000163,F000934,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000164,F001306,0.5,1.0,1.0,1.0,0.5,permuted_seed_0019,3
F000165,F000842,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000166,F001481,0.5,1.0,0.5,0.5,0.5,permuted_seed_0019,3
F000167,F001143,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000168,F000815,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000169,F001185,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000170,F000101,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000171,F001987,0.5,1.0,1.0,1.0,0.5,permuted_seed_0019,3
F000172,F001467,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000173,F001786,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000174,F001172,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000175,F000966,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000176,F000126,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000177,F001568,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000178,F000545,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000179,F001174,0.5,1.0,1.0,1.0,0.5,permuted_seed_0019,3
F000180,F001782,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000181,F000570,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000182,F001574,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000183,F001507,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000184,F001264,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000185,F000656,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000186,F001735,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000187,F000571,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000188,F000859,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000189,F001424,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000190,F001787,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000191,F001226,0.5,1.0,1.0,1.0,0.5,permuted_seed_0019,3
F000192,F001530,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000193,F001107,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000194,F000574,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000195,F001091,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000196,F000615,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000197,F001579,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000198,F000004,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000199,F000329,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000200,F000534,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000201,F001476,0.5,1.0,1.0,1.0,0.5,permuted_seed_0019,3
F000202,F000382,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000203,F000728,0.5,1.0,1.0,1.0,0.5,permuted_seed_0019,3
F000204,F000006,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000205,F000380,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000206,F001904,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000207,F001926,0.5,1.0,1.0,1.0,0.5,permuted_seed_0019,3
F000208,F000140,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000209,F001813,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000210,F001604,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000211,F000454,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000212,F000258,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000213,F001252,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000214,F001135,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000215,F001369,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000216,F000747,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000217,F000133,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000218,F000726,0.5,1.0,1.0,1.0,0.5,permuted_seed_0019,3
F000219,F000305,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000220,F001593,0.5,1.0,1.0,1.0,0.5,permuted_seed_0019,3
F000221,F001954,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000222,F000765,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000223,F000553,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000224,F000030,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000225,F000201,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000226,F001384,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000227,F000602,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000228,F000284,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000229,F000489,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000230,F000120,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000231,F001459,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000232,F000547,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000233,F000986,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000234,F001402,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000235,F001331,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000236,F001035,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000237,F001659,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000238,F000551,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000239,F001532,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000240,F001213,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000241,F001082,0.5,1.0,1.0,1.0,0.5,permuted_seed_0019,3
F000242,F000459,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000243,F001141,0.5,1.0,1.0,1.0,0.5,permuted_seed_0019,3
F000244,F001541,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000245,F001940,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000246,F000760,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000247,F000835,0.5,1.0,1.0,1.0,0.5,permuted_seed_0019,3
F000248,F001181,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000249,F000641,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000250,F001371,0.5,1.0,1.0,1.0,0.5,permuted_seed_0019,3
F000251,F001435,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000252,F001466,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000253,F001740,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000254,F001399,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000255,F001126,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000256,F001515,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000257,F000492,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000258,F001343,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000259,F000944,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000260,F000840,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000261,F001502,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000262,F000674,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000263,F001827,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000264,F000417,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000265,F000879,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000266,F000958,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000267,F001760,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000268,F001074,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000269,F001584,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000270,F001670,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000271,F000561,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000272,F000177,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000273,F001941,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000274,F001564,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000275,F000406,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000276,F001441,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000277,F000231,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000278,F001504,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000279,F001282,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000280,F001955,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000281,F000554,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000282,F001809,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000283,F000691,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000284,F000039,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000285,F000273,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000286,F001336,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000287,F000462,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000288,F001602,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000289,F001478,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000290,F001394,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000291,F001646,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000292,F000522,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000293,F001927,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000294,F000803,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000295,F000315,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000296,F001629,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000297,F001038,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000298,F000221,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000299,F000685,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000300,F001160,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000301,F001407,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000302,F000105,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000303,F001630,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000304,F001587,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000305,F001891,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000306,F000103,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000307,F001398,0.5,1.0,1.0,1.0,0.5,permuted_seed_0019,3
F000308,F001657,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000309,F001387,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000310,F000441,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000311,F000136,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000312,F001460,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000313,F000590,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000314,F000563,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000315,F001073,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000316,F001001,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000317,F001137,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000318,F000981,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000319,F001864,0.5,1.0,1.0,1.0,0.5,permuted_seed_0019,3
F000320,F000867,0.5,1.0,1.0,1.0,0.5,permuted_seed_0019,3
F000321,F001841,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000322,F001320,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000323,F001784,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000324,F001344,0.5,1.0,1.0,1.0,0.5,permuted_seed_0019,3
F000325,F001052,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000326,F000321,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000327,F001622,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000328,F000766,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000329,F001750,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000330,F000654,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000331,F000460,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000332,F000599,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000333,F000035,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000334,F001765,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000335,F001868,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000336,F000769,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000337,F000065,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000338,F000638,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000339,F000608,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000340,F001991,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000341,F000301,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000342,F001031,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000343,F000378,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000344,F001005,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000345,F001556,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000346,F001445,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000347,F001683,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
