feature_id,relevance_scaled,confidence_scaled,agreement,reliability,text_score,condition,llm_runs
F000128,0.25,1.0,1.0,1.0,0.25,real,3
F000129,0.25,1.0,1.0,1.0,0.25,real,3
F000130,0.25,1.0,1.0,1.0,0.25,real,3
F000131,0.25,1.0,1.0,1.0,0.25,real,3
F000132,0.25,1.0,1.0,1.0,0.25,real,3
F000133,0.25,1.0,1.0,1.0,0.25,real,3
F000134,0.5,1.0,1.0,1.0,0.5,real,3
F000135,0.25,1.0,1.0,1.0,0.25,real,3
F000136,0.25,1.0,1.0,1.0,0.25,real,3
F000137,0.75,1.0,1.0,1.0,0.75,real,3
F000138,0.5,1.0,1.0,1.0,0.5,real,3
F000139,0.5,1.0,1.0,1.0,0.5,real,3
F000140,0.5,1.0,1.0,1.0,0.5,real,3
F000141,0.25,1.0,1.0,1.0,0.25,real,3
F000142,0.5,1.0,1.0,1.0,0.5,real,3
F000143,0.75,1.0,1.0,1.0,0.75,real,3
F000144,0.5,1.0,1.0,1.0,0.5,real,3
F000145,0.75,1.0,1.0,1.0,0.75,real,3
F000146,0.5,1.0,0.5,0.5,0.5,real,3
F000147,0.25,1.0,1.0,1.0,0.25,real,3
F000148,0.25,1.0,1.0,1.0,0.25,real,3
F000149,0.25,1.0,1.0,1.0,0.25,real,3
F000150,0.25,1.0,1.0,1.0,0.25,real,3
F000151,0.5,1.0,1.0,1.0,0.5,real,3
F000152,0.25,1.0,1.0,1.0,0.25,real,3
F000153,0.25,1.0,1.0,1.0,0.25,real,3
F000154,0.25,1.0,1.0,1.0,0.25,real,3
F000155,0.25,1.0,1.0,1.0,0.25,real,3
F000156,0.5,1.0,1.0,1.0,0.5,real,3
F000157,0.5,1.0,1.0,1.0,0.5,real,3
F000158,0.75,1.0,1.0,1.0,0.75,real,3
F000159,0.5,1.0,1.0,1.0,0.5,real,3
F000160,0.5,1.0,1.0,1.0,0.5,real,3
F000161,0.25,1.0,1.0,1.0,0.25,real,3
F000162,0.5,1.0,1.0,1.0,0.5,real,3
F000163,0.5,1.0,1.0,1.0,0.5,real,3
F000164,0.5,1.0,1.0,1.0,0.5,real,3
F000165,0.5,1.0,1.0,1.0,0.5,real,3
F000166,0.5,1.0,1.0,1.0,0.5,real,3
F000167,0.5,1.0,1.0,1.0,0.5,real,3
F000168,0.5,1.0,1.0,1.0,0.5,real,3
F000169,0.25,1.0,1.0,1.0,0.25,real,3
F000170,0.25,1.0,1.0,1.0,0.25,real,3
F000171,0.5,1.0,1.0,1.0,0.5,real,3
F000172,0.5,1.0,1.0,1.0,0.5,real,3
F000173,0.25,1.0,1.0,1.0,0.25,real,3
F000174,0.25,1.0,1.0,1.0,0.25,real,3
F000175,0.75,1.0,1.0,1.0,0.75,real,3
F000176,0.5,1.0,1.0,1.0,0.5,real,3
F000177,0.5,1.0,1.0,1.0,0.5,real,3
F000178,0.25,1.0,1.0,1.0,0.25,real,3
F000179,1.0,1.0,1.0,1.0,1.0,real,3
F000180,0.5,1.0,1.0,1.0,0.5,real,3
F000181,0.5,1.0,1.0,1.0,0.5,real,3
F000182,0.5,1.0,1.0,1.0,0.5,real,3
F000183,0.5,1.0,1.0,1.0,0.5,real,3
F000184,0.75,1.0,1.0,1.0,0.75,real,3
F000185,0.25,1.0,1.0,1.0,0.25,real,3
F000186,0.25,1.0,1.0,1.0,0.25,real,3
F000187,0.25,1.0,1.0,1.0,0.25,real,3
F000188,0.5,1.0,1.0,1.0,0.5,real,3
F000189,0.5,1.0,1.0,1.0,0.5,real,3
F000190,0.25,1.0,1.0,1.0,0.25,real,3
F000191,0.25,1.0,1.0,1.0,0.25,real,3
F000192,0.5,1.0,1.0,1.0,0.5,real,3
F000193,0.75,1.0,1.0,1.0,0.75,real,3
F000194,0.25,1.0,1.0,1.0,0.25,real,3
F000195,0.75,1.0,1.0,1.0,0.75,real,3
F000196,0.5,1.0,1.0,1.0,0.5,real,3
F000197,0.5,1.0,1.0,1.0,0.5,real,3
F000198,0.25,1.0,1.0,1.0,0.25,real,3
F000199,0.5,1.0,1.0,1.0,0.5,real,3
F000200,0.25,1.0,1.0,1.0,0.25,real,3
F000201,0.5,1.0,1.0,1.0,0.5,real,3
F000202,0.5,1.0,1.0,1.0,0.5,real,3
F000203,0.25,1.0,1.0,1.0,0.25,real,3
F000204,0.5,1.0,1.0,1.0,0.5,real,3
F000205,0.5,1.0,1.0,1.0,0.5,real,3
F000206,0.75,1.0,1.0,1.0,0.75,real,3
F000207,0.5,1.0,1.0,1.0,0.5,real,3
F000208,0.5,1.0,1.0,1.0,0.5,real,3
F000209,0.25,1.0,1.0,1.0,0.25,real,3
F000210,0.5,1.0,0.5,0.5,0.5,real,3
F000211,0.5,1.0,1.0,1.0,0.5,real,3
F000212,0.75,1.0,1.0,1.0,0.75,real,3
F000213,0.5,1.0,1.0,1.0,0.5,real,3
F000214,0.5,1.0,1.0,1.0,0.5,real,3
F000215,0.5,1.0,1.0,1.0,0.5,real,3
F000216,0.5,1.0,1.0,1.0,0.5,real,3
F000217,0.25,1.0,1.0,1.0,0.25,real,3
F000218,0.5,1.0,1.0,1.0,0.5,real,3
F000219,0.5,1.0,0.5,0.5,0.5,real,3
F000220,0.25,1.0,1.0,1.0,0.25,real,3
F000221,0.5,1.0,1.0,1.0,0.5,real,3
F000222,0.5,1.0,1.0,1.0,0.5,real,3
F000223,0.5,1.0,1.0,1.0,0.5,real,3
F000224,0.5,1.0,1.0,1.0,0.5,real,3
F000225,0.5,1.0,1.0,1.0,0.5,real,3
F000226,0.25,1.0,1.0,1.0,0.25,real,3
F000227,0.5,1.0,1.0,1.0,0.5,real,3
F000228,0.5,1.0,1.0,1.0,0.5,real,3
F000229,0.5,1.0,1.0,1.0,0.5,real,3
F000230,0.5,1.0,1.0,1.0,0.5,real,3
F000231,0.5,1.0,1.0,1.0,0.5,real,3
F000232,0.5,1.0,1.0,1.0,0.5,real,3
F000233,0.25,1.0,1.0,1.0,0.25,real,3
F000234,0.25,1.0,1.0,1.0,0.25,real,3
F000235,0.25,1.0,1.0,1.0,0.25,real,3
F000236,0.25,1.0,1.0,1.0,0.25,real,3
F000237,0.5,1.0,1.0,1.0,0.5,real,3
F000238,0.25,1.0,1.0,1.0,0.25,real,3
F000239,0.25,1.0,1.0,1.0,0.25,real,3
F000240,0.25,1.0,1.0,1.0,0.25,real,3
F000241,0.25,1.0,1.0,1.0,0.25,real,3
F000242,0.25,1.0,1.0,1.0,0.25,real,3
F000243,0.25,1.0,1.0,1.0,0.25,real,3
F000244,0.25,1.0,1.0,1.0,0.25,real,3
F000245,0.5,1.0,1.0,1.0,0.5,real,3
F000246,0.5,1.0,1.0,1.0,0.5,real,3
F000247,0.5,1.0,1.0,1.0,0.5,real,3
F000248,0.5,1.0,1.0,1.0,0.5,real,3
F000249,0.5,1.0,1.0,1.0,0.5,real,3
F000250,0.5,1.0,1.0,1.0,0.5,real,3
F000251,0.5,1.0,1.0,1.0,0.5,real,3
F000252,0.5,1.0,1.0,1.0,0.5,real,3
F000253,0.5,1.0,1.0,1.0,0.5,real,3
F000254,0.5,1.0,1.0,1.0,0.5,real,3
F000255,0.5,1.0,1.0,1.0,0.5,real,3
F000256,0.5,1.0,1.0,1.0,0.5,real,3
F000257,0.5,1.0,1.0,1.0,0.5,real,3
F000258,1.0,1.0,1.0,1.0,1.0,real,3
F000259,0.5,1.0,1.0,1.0,0.5,real,3
F000260,0.5,1.0,1.0,1.0,0.5,real,3
F000261,0.5,1.0,1.0,1.0,0.5,real,3
F000262,0.5,1.0,1.0,1.0,0.5,real,3
F000263,0.5,1.0,1.0,1.0,0.5,real,3
F000264,0.5,1.0,1.0,1.0,0.5,real,3
F000265,0.5,1.0,1.0,1.0,0.5,real,3
F000266,0.75,1.0,1.0,1.0,0.75,real,3
F000267,0.5,1.0,1.0,1.0,0.5,real,3
F000268,0.5,1.0,1.0,1.0,0.5,real,3
F000269,0.5,1.0,1.0,1.0,0.5,real,3
F000270,0.5,1.0,1.0,1.0,0.5,real,3
F000271,0.5,1.0,1.0,1.0,0.5,real,3
F000272,0.5,1.0,1.0,1.0,0.5,real,3
F000273,0.25,1.0,1.0,1.0,0.25,real,3
F000274,0.5,1.0,1.0,1.0,0.5,real,3
F000275,0.25,1.0,1.0,1.0,0.25,real,3
F000276,0.25,1.0,1.0,1.0,0.25,real,3
F000277,0.5,1.0,1.0,1.0,0.5,real,3
F000278,0.5,1.0,1.0,1.0,0.5,real,3
F000279,0.5,1.0,1.0,1.0,0.5,real,3
F000280,0.25,1.0,1.0,1.0,0.25,real,3
F000281,0.25,1.0,1.0,1.0,0.25,real,3
F000282,0.5,1.0,1.0,1.0,0.5,real,3
F000283,0.25,1.0,1.0,1.0,0.25,real,3
F000284,0.25,1.0,1.0,1.0,0.25,real,3
F000285,0.5,1.0,1.0,1.0,0.5,real,3
F000286,0.75,1.0,1.0,1.0,0.75,real,3
F000287,0.5,1.0,1.0,1.0,0.5,real,3
F000288,0.5,1.0,1.0,1.0,0.5,real,3
F000289,0.5,1.0,1.0,1.0,0.5,real,3
F000290,0.5,1.0,1.0,1.0,0.5,real,3
F000291,0.5,1.0,1.0,1.0,0.5,real,3
F000292,0.5,1.0,1.0,1.0,0.5,real,3
F000293,0.5,1.0,1.0,1.0,0.5,real,3
F000294,0.5,1.0,1.0,1.0,0.5,real,3
F000295,0.75,1.0,1.0,1.0,0.75,real,3
F000296,0.5,1.0,1.0,1.0,0.5,real,3
F000297,0.5,1.0,1.0,1.0,0.5,real,3
F000298,0.5,1.0,1.0,1.0,0.5,real,3
F000299,0.25,1.0,1.0,1.0,0.25,real,3
F000300,0.75,1.0,1.0,1.0,0.75,real,3
F000301,0.5,1.0,1.0,1.0,0.5,real,3
F000302,0.5,1.0,1.0,1.0,0.5,real,3
F000303,1.0,1.0,1.0,1.0,1.0,real,3
F000304,0.75,1.0,1.0,1.0,0.75,real,3
F000305,0.5,1.0,1.0,1.0,0.5,real,3
F000306,0.25,1.0,1.0,1.0,0.25,real,3
F000307,0.5,1.0,1.0,1.0,0.5,real,3
F000308,0.25,1.0,1.0,1.0,0.25,real,3
F000309,0.5,1.0,1.0,1.0,0.5,real,3
F000310,0.5,1.0,1.0,1.0,0.5,real,3
F000311,0.5,1.0,1.0,1.0,0.5,real,3
F000312,0.5,1.0,1.0,1.0,0.5,real,3
F000313,0.5,1.0,1.0,1.0,0.5,real,3
F000314,0.25,1.0,1.0,1.0,0.25,real,3
F000315,0.5,1.0,1.0,1.0,0.5,real,3
F000316,0.25,1.0,1.0,1.0,0.25,real,3
F000317,0.5,1.0,1.0,1.0,0.5,real,3
F000318,0.5,1.0,1.0,1.0,0.5,real,3
F000319,0.25,1.0,1.0,1.0,0.25,real,3
F000320,0.25,1.0,1.0,1.0,0.25,real,3
F000321,0.5,1.0,1.0,1.0,0.5,real,3
F000322,0.5,1.0,1.0,1.0,0.5,real,3
F000323,0.5,1.0,1.0,1.0,0.5,real,3
F000324,0.25,1.0,1.0,1.0,0.25,real,3
F000325,0.5,1.0,1.0,1.0,0.5,real,3
F000326,0.25,1.0,1.0,1.0,0.25,real,3
F000327,0.25,1.0,1.0,1.0,0.25,real,3
F000328,0.25,1.0,1.0,1.0,0.25,real,3
F000329,0.25,1.0,1.0,1.0,0.25,real,3
F000330,0.25,1.0,1.0,1.0,0.25,real,3
F000331,0.5,1.0,1.0,1.0,0.5,real,3
F000332,0.25,1.0,1.0,1.0,0.25,real,3
F000333,0.25,1.0,1.0,1.0,0.25,real,3
F000334,0.25,1.0,1.0,1.0,0.25,real,3
F000335,0.25,1.0,1.0,1.0,0.25,real,3
F000336,0.25,1.0,1.0,1.0,0.25,real,3
F000337,0.25,1.0,1.0,1.0,0.25,real,3
F000338,0.25,1.0,1.0,1.0,0.25,real,3
F000339,0.25,1.0,1.0,1.0,0.25,real,3
F000340,0.5,1.0,1.0,1.0,0.5,real,3
F000341,0.5,1.0,1.0,1.0,0.5,real,3
F000342,0.5,1.0,1.0,1.0,0.5,real,3
F000343,0.25,1.0,1.0,1.0,0.25,real,3
F000344,0.5,1.0,1.0,1.0,0.5,real,3
F000345,0.5,1.0,1.0,1.0,0.5,real,3
F000346,0.5,1.0,1.0,1.0,0.5,real,3
F000347,0.5,1.0,1.0,1.0,0.5,real,3
F000348,0.5,1.0,1.0,1.0,0.5,real,3
F000349,0.25,1.0,1.0,1.0,0.25,real,3
F000350,0.5,1.0,1.0,1.0,0.5,real,3
F000351,0.5,1.0,1.0,1.0,0.5,real,3
F000352,0.25,1.0,1.0,1.0,0.25,real,3
F000353,0.25,1.0,1.0,1.0,0.25,real,3
F000354,0.25,1.0,1.0,1.0,0.25,real,3
F000355,0.25,1.0,1.0,1.0,0.25,real,3
F000356,0.25,1.0,1.0,1.0,0.25,real,3
F000357,0.5,1.0,1.0,1.0,0.5,real,3
F000358,0.25,1.0,1.0,1.0,0.25,real,3
F000359,0.25,1.0,1.0,1.0,0.25,real,3
F000360,0.25,1.0,1.0,1.0,0.25,real,3
F000361,0.25,1.0,1.0,1.0,0.25,real,3
F000362,0.25,1.0,1.0,1.0,0.25,real,3
F000363,0.25,1.0,1.0,1.0,0.25,real,3
F000364,0.5,1.0,1.0,1.0,0.5,real,3
F000365,0.5,1.0,1.0,1.0,0.5,real,3
F000366,0.5,1.0,1.0,1.0,0.5,real,3
F000367,0.5,1.0,1.0,1.0,0.5,real,3
F000368,0.5,1.0,1.0,1.0,0.5,real,3
F000369,0.25,1.0,1.0,1.0,0.25,real,3
F000370,0.25,1.0,1.0,1.0,0.25,real,3
F000371,0.25,1.0,1.0,1.0,0.25,real,3
F000372,0.25,1.0,1.0,1.0,0.25,real,3
F000373,0.25,1.0,1.0,1.0,0.25,real,3
F000374,0.25,1.0,1.0,1.0,0.25,real,3
F000375,0.5,1.0,1.0,1.0,0.5,real,3
F000376,0.25,1.0,1.0,1.0,0.25,real,3
F000377,0.25,1.0,1.0,1.0,0.25,real,3
F000378,0.5,1.0,1.0,1.0,0.5,real,3
F000379,0.25,1.0,1.0,1.0,0.25,real,3
F000380,0.5,1.0,1.0,1.0,0.5,real,3
F000381,0.5,1.0,1.0,1.0,0.5,real,3
F000382,0.25,1.0,1.0,1.0,0.25,real,3
F000383,0.25,1.0,1.0,1.0,0.25,real,3
F000384,0.25,1.0,1.0,1.0,0.25,real,3
F000385,0.5,1.0,1.0,1.0,0.5,real,3
F000386,0.25,1.0,1.0,1.0,0.25,real,3
F000387,0.25,1.0,1.0,1.0,0.25,real,3
F000388,0.25,1.0,1.0,1.0,0.25,real,3
F000389,0.25,1.0,1.0,1.0,0.25,real,3
F000390,0.5,1.0,1.0,1.0,0.5,real,3
F000391,0.5,1.0,1.0,1.0,0.5,real,3
F000392,0.5,1.0,1.0,1.0,0.5,real,3
F000393,0.25,1.0,1.0,1.0,0.25,real,3
F000394,0.25,1.0,1.0,1.0,0.25,real,3
F000395,0.5,1.0,1.0,1.0,0.5,real,3
F000396,0.25,1.0,1.0,1.0,0.25,real,3
F000397,0.5,1.0,1.0,1.0,0.5,real,3
F000398,0.25,1.0,1.0,1.0,0.25,real,3
F000399,0.25,1.0,1.0,1.0,0.25,real,3
F000400,0.5,1.0,1.0,1.0,0.5,real,3
F000401,0.75,1.0,1.0,1.0,0.75,real,3
F000402,0.25,1.0,1.0,1.0,0.25,real,3
F000403,0.5,1.0,1.0,1.0,0.5,real,3
F000404,0.25,1.0,1.0,1.0,0.25,real,3
F000405,0.25,1.0,1.0,1.0,0.25,real,3
F000406,0.5,1.0,1.0,1.0,0.5,real,3
F000407,0.25,1.0,1.0,1.0,0.25,real,3
F000408,0.5,1.0,1.0,1.0,0.5,real,3
F000409,0.25,1.0,1.0,1.0,0.25,real,3
F000410,0.5,1.0,1.0,1.0,0.5,real,3
F000411,0.25,1.0,1.0,1.0,0.25,real,3
F000412,0.25,1.0,1.0,1.0,0.25,real,3
F000413,0.25,1.0,1.0,1.0,0.25,real,3
F000414,0.25,1.0,1.0,1.0,0.25,real,3
F000415,0.25,1.0,1.0,1.0,0.25,real,3
F000416,0.25,1.0,1.0,1.0,0.25,real,3
F000417,0.25,1.0,1.0,1.0,0.25,real,3
F000418,0.25,1.0,1.0,1.0,0.25,real,3
F000419,0.25,1.0,1.0,1.0,0.25,real,3
F000420,0.5,1.0,1.0,1.0,0.5,real,3
F000421,0.25,1.0,1.0,1.0,0.25,real,3
F000422,0.25,1.0,1.0,1.0,0.25,real,3
F000423,0.5,1.0,1.0,1.0,0.5,real,3
F000424,0.5,1.0,1.0,1.0,0.5,real,3
F000425,0.75,1.0,1.0,1.0,0.75,real,3
F000426,0.25,1.0,1.0,1.0,0.25,real,3
F000427,0.25,1.0,1.0,1.0,0.25,real,3
F000428,0.25,1.0,1.0,1.0,0.25,real,3
F000429,0.25,1.0,1.0,1.0,0.25,real,3
F000430,0.25,1.0,1.0,1.0,0.25,real,3
F000431,0.5,1.0,1.0,1.0,0.5,real,3
F000432,0.25,1.0,1.0,1.0,0.25,real,3
F000433,0.25,1.0,1.0,1.0,0.25,real,3
F000434,0.25,1.0,1.0,1.0,0.25,real,3
F000435,0.25,1.0,1.0,1.0,0.25,real,3
F000436,0.25,1.0,1.0,1.0,0.25,real,3
F000437,0.5,1.0,1.0,1.0,0.5,real,3
F000438,0.25,1.0,1.0,1.0,0.25,real,3
F000439,0.25,1.0,1.0,1.0,0.25,real,3
F000440,0.25,1.0,1.0,1.0,0.25,real,3
F000441,0.5,1.0,1.0,1.0,0.5,real,3
F000442,0.25,1.0,1.0,1.0,0.25,real,3
F000443,0.25,1.0,1.0,1.0,0.25,real,3
F000444,0.25,1.0,1.0,1.0,0.25,real,3
F000445,0.25,1.0,1.0,1.0,0.25,real,3
F000446,0.5,1.0,1.0,1.0,0.5,real,3
F000447,0.5,1.0,1.0,1.0,0.5,real,3
F000448,0.5,1.0,1.0,1.0,0.5,real,3
F000449,0.25,1.0,1.0,1.0,0.25,real,3
F000450,0.5,1.0,1.0,1.0,0.5,real,3
F000451,0.5,1.0,1.0,1.0,0.5,real,3
F000452,0.25,1.0,1.0,1.0,0.25,real,3
F000453,0.25,1.0,1.0,1.0,0.25,real,3
F000454,0.25,1.0,1.0,1.0,0.25,real,3
F000455,0.25,1.0,1.0,1.0,0.25,real,3
F000456,0.5,1.0,1.0,1.0,0.5,real,3
F000457,0.75,1.0,1.0,1.0,0.75,real,3
F000458,0.25,1.0,1.0,1.0,0.25,real,3
F000459,0.5,1.0,1.0,1.0,0.5,real,3
F000460,0.5,1.0,1.0,1.0,0.5,real,3
F000461,0.25,1.0,1.0,1.0,0.25,real,3
F000462,0.25,1.0,1.0,1.0,0.25,real,3
F000463,0.25,1.0,1.0,1.0,0.25,real,3
F000464,0.25,1.0,1.0,1.0,0.25,real,3
F000465,0.5,1.0,1.0,1.0,0.5,real,3
F000466,0.25,1.0,1.0,1.0,0.25,real,3
F000467,0.25,1.0,1.0,1.0,0.25,real,3
F000468,0.25,1.0,1.0,1.0,0.25,real,3
F000469,0.25,1.0,1.0,1.0,0.25,real,3
F000470,0.25,1.0,1.0,1.0,0.25,real,3
F000471,0.25,1.0,1.0,1.0,0.25,real,3
F000472,0.25,1.0,1.0,1.0,0.25,real,3
F000473,0.25,1.0,1.0,1.0,0.25,real,3
F000474,0.25,1.0,1.0,1.0,0.25,real,3
F000475,0.25,1.0,1.0,1.0,0.25,real,3
F000476,0.25,1.0,1.0,1.0,0.25,real,3
F000477,0.25,1.0,1.0,1.0,0.25,real,3
F000478,0.25,1.0,1.0,1.0,0.25,real,3
F000479,0.25,1.0,1.0,1.0,0.25,real,3
F000480,0.25,1.0,1.0,1.0,0.25,real,3
F000481,0.25,1.0,1.0,1.0,0.25,real,3
F000482,0.25,1.0,1.0,1.0,0.25,real,3
F000483,0.25,1.0,1.0,1.0,0.25,real,3
F000484,0.25,1.0,1.0,1.0,0.25,real,3
F000485,0.25,1.0,1.0,1.0,0.25,real,3
F000486,0.25,1.0,1.0,1.0,0.25,real,3
F000487,0.5,1.0,1.0,1.0,0.5,real,3
F000488,0.5,1.0,1.0,1.0,0.5,real,3
F000489,0.5,1.0,1.0,1.0,0.5,real,3
F000490,0.25,1.0,1.0,1.0,0.25,real,3
F000491,0.5,1.0,1.0,1.0,0.5,real,3
F000492,0.25,1.0,1.0,1.0,0.25,real,3
F000493,0.25,1.0,1.0,1.0,0.25,real,3
F000494,0.5,1.0,1.0,1.0,0.5,real,3
F000495,0.25,1.0,1.0,1.0,0.25,real,3
F000496,0.25,1.0,1.0,1.0,0.25,real,3
F000497,0.25,1.0,1.0,1.0,0.25,real,3
